subject,puzzle,event,move,prev_move,s_free,s_fixed,d_goal,Lopt,attempt,RT,timestamp,first_move
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb12715_11,start,"(0, 0)","(0, 0)","Int8[1, 2, 4, 1, 1, 1, 3, 5, 1]","(Car(3, :x, 2), Car(6, :y, 3), Car(4, :y, 2), Car(5, :x, 3), Car(2, :x, 2), Car(3, :y, 3), Car(6, :x, 2), Car(5, :y, 2), Car(4, :x, 2))",9,9,1,0,1517522730257,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb12715_11,move,"(3, -3)","(0, 0)","Int8[1, 2, 4, 1, 1, 1, 3, 5, 1]","(Car(3, :x, 2), Car(6, :y, 3), Car(4, :y, 2), Car(5, :x, 3), Car(2, :x, 2), Car(3, :y, 3), Car(6, :x, 2), Car(5, :y, 2), Car(4, :x, 2))",9,9,1,4773,1517522735030,true
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb12715_11,move,"(2, 2)","(3, -3)","Int8[1, 2, 1, 1, 1, 1, 3, 5, 1]","(Car(3, :x, 2), Car(6, :y, 3), Car(4, :y, 2), Car(5, :x, 3), Car(2, :x, 2), Car(3, :y, 3), Car(6, :x, 2), Car(5, :y, 2), Car(4, :x, 2))",8,9,1,5030,1517522740060,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb12715_11,move,"(8, -4)","(2, 2)","Int8[1, 4, 1, 1, 1, 1, 3, 5, 1]","(Car(3, :x, 2), Car(6, :y, 3), Car(4, :y, 2), Car(5, :x, 3), Car(2, :x, 2), Car(3, :y, 3), Car(6, :x, 2), Car(5, :y, 2), Car(4, :x, 2))",9,9,1,2726,1517522742786,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb12715_11,move,"(4, 2)","(8, -4)","Int8[1, 4, 1, 1, 1, 1, 3, 1, 1]","(Car(3, :x, 2), Car(6, :y, 3), Car(4, :y, 2), Car(5, :x, 3), Car(2, :x, 2), Car(3, :y, 3), Car(6, :x, 2), Car(5, :y, 2), Car(4, :x, 2))",8,9,1,1673,1517522744459,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb12715_11,move,"(2, -3)","(4, 2)","Int8[1, 4, 1, 3, 1, 1, 3, 1, 1]","(Car(3, :x, 2), Car(6, :y, 3), Car(4, :y, 2), Car(5, :x, 3), Car(2, :x, 2), Car(3, :y, 3), Car(6, :x, 2), Car(5, :y, 2), Car(4, :x, 2))",8,9,1,1752,1517522746211,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb12715_11,move,"(7, 2)","(2, -3)","Int8[1, 1, 1, 3, 1, 1, 3, 1, 1]","(Car(3, :x, 2), Car(6, :y, 3), Car(4, :y, 2), Car(5, :x, 3), Car(2, :x, 2), Car(3, :y, 3), Car(6, :x, 2), Car(5, :y, 2), Car(4, :x, 2))",7,9,1,2371,1517522748582,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb12715_11,move,"(4, 1)","(7, 2)","Int8[1, 1, 1, 3, 1, 1, 5, 1, 1]","(Car(3, :x, 2), Car(6, :y, 3), Car(4, :y, 2), Car(5, :x, 3), Car(2, :x, 2), Car(3, :y, 3), Car(6, :x, 2), Car(5, :y, 2), Car(4, :x, 2))",7,9,1,2075,1517522750657,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb12715_11,move,"(6, 3)","(4, 1)","Int8[1, 1, 1, 4, 1, 1, 5, 1, 1]","(Car(3, :x, 2), Car(6, :y, 3), Car(4, :y, 2), Car(5, :x, 3), Car(2, :x, 2), Car(3, :y, 3), Car(6, :x, 2), Car(5, :y, 2), Car(4, :x, 2))",6,9,1,1562,1517522752219,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb12715_11,move,"(1, 3)","(6, 3)","Int8[1, 1, 1, 4, 1, 4, 5, 1, 1]","(Car(3, :x, 2), Car(6, :y, 3), Car(4, :y, 2), Car(5, :x, 3), Car(2, :x, 2), Car(3, :y, 3), Car(6, :x, 2), Car(5, :y, 2), Car(4, :x, 2))",5,9,1,1846,1517522754065,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb12715_11,move,"(6, -3)","(1, 3)","Int8[4, 1, 1, 4, 1, 4, 5, 1, 1]","(Car(3, :x, 2), Car(6, :y, 3), Car(4, :y, 2), Car(5, :x, 3), Car(2, :x, 2), Car(3, :y, 3), Car(6, :x, 2), Car(5, :y, 2), Car(4, :x, 2))",4,9,1,1186,1517522755251,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb12715_11,move,"(7, -4)","(6, -3)","Int8[4, 1, 1, 4, 1, 1, 5, 1, 1]","(Car(3, :x, 2), Car(6, :y, 3), Car(4, :y, 2), Car(5, :x, 3), Car(2, :x, 2), Car(3, :y, 3), Car(6, :x, 2), Car(5, :y, 2), Car(4, :x, 2))",3,9,1,1454,1517522756705,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb12715_11,move,"(4, -3)","(7, -4)","Int8[4, 1, 1, 4, 1, 1, 1, 1, 1]","(Car(3, :x, 2), Car(6, :y, 3), Car(4, :y, 2), Car(5, :x, 3), Car(2, :x, 2), Car(3, :y, 3), Car(6, :x, 2), Car(5, :y, 2), Car(4, :x, 2))",2,9,1,1015,1517522757720,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb12715_11,move,"(2, 3)","(4, -3)","Int8[4, 1, 1, 1, 1, 1, 1, 1, 1]","(Car(3, :x, 2), Car(6, :y, 3), Car(4, :y, 2), Car(5, :x, 3), Car(2, :x, 2), Car(3, :y, 3), Car(6, :x, 2), Car(5, :y, 2), Car(4, :x, 2))",1,9,1,1621,1517522759341,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb12715_11,win,"(0, 0)","(2, 3)","Int8[4, 4, 1, 1, 1, 1, 1, 1, 1]","(Car(3, :x, 2), Car(6, :y, 3), Car(4, :y, 2), Car(5, :x, 3), Car(2, :x, 2), Car(3, :y, 3), Car(6, :x, 2), Car(5, :y, 2), Car(4, :x, 2))",0,9,1,0,1517522759341,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,start,"(0, 0)","(0, 0)","Int8[3, 1, 4, 3, 2, 1, 2, 5, 3]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",14,14,1,0,1517522768512,false
